Zone Name,Suburb Name,Suburb Postcode,Arrival day from dispatch,Delivery Fee,Free Delivery for Over $
Sydney Metro,BEECROFT,2119,Tuesday & Friday,$10,$100
Sydney Metro,CHELTENHAM,2119,Tuesday & Friday,$10,$100
Sydney Metro,PENNANT HILLS,2120,Tuesday & Friday,$10,$100
Sydney Metro,THORNLEIGH,2120,Tuesday & Friday,$10,$100
Sydney Metro,WESTLEIGH,2120,Tuesday & Friday,$10,$100
Sydney Metro,EPPING,2121,Tuesday & Friday,$10,$100
Sydney Metro,NORTH EPPING,2121,Tuesday & Friday,$10,$100
Sydney Metro,EASTWOOD,2122,Tuesday & Friday,$10,$100
Sydney Metro,MARSFIELD,2122,Tuesday & Friday,$10,$100
Sydney Metro,PARRAMATTA,2123,Tuesday & Friday,$10,$100
Sydney Metro,WEST PENNANT HILLS,2125,Tuesday & Friday,$10,$100
Sydney Metro,CHERRYBROOK,2126,Tuesday & Friday,$10,$100
Sydney Metro,NEWINGTON,2127,Tuesday & Friday,$10,$100
Sydney Metro,SYDNEY OLYMPIC PARK,2127,Tuesday & Friday,$10,$100
Sydney Metro,WENTWORTH POINT,2127,Tuesday & Friday,$10,$100
Sydney Metro,SILVERWATER,2128,Tuesday & Friday,$10,$100
Sydney Metro,SUMMER HILL,2130,Tuesday & Friday,$10,$100
Sydney Metro,ASHFIELD,2131,Tuesday & Friday,$10,$100
Sydney Metro,CROYDON,2132,Tuesday & Friday,$10,$100
Sydney Metro,CROYDON PARK,2133,Tuesday & Friday,$10,$100
Sydney Metro,ENFIELD SOUTH,2133,Tuesday & Friday,$10,$100
Sydney Metro,BURWOOD,2134,Tuesday & Friday,$10,$100
Sydney Metro,BURWOOD NORTH,2134,Tuesday & Friday,$10,$100
Sydney Metro,STRATHFIELD,2135,Tuesday & Friday,$10,$100
Sydney Metro,BURWOOD HEIGHTS,2136,Tuesday & Friday,$10,$100
Sydney Metro,ENFIELD,2136,Tuesday & Friday,$10,$100
Sydney Metro,STRATHFIELD SOUTH,2136,Tuesday & Friday,$10,$100
Sydney Metro,BREAKFAST POINT,2137,Tuesday & Friday,$10,$100
Sydney Metro,CABARITA,2137,Tuesday & Friday,$10,$100
Sydney Metro,CONCORD,2137,Tuesday & Friday,$10,$100
Sydney Metro,MORTLAKE,2137,Tuesday & Friday,$10,$100
Sydney Metro,NORTH STRATHFIELD,2137,Tuesday & Friday,$10,$100
Sydney Metro,CONCORD WEST,2138,Tuesday & Friday,$10,$100
Sydney Metro,LIBERTY GROVE,2138,Tuesday & Friday,$10,$100
Sydney Metro,RHODES,2138,Tuesday & Friday,$10,$100
Sydney Metro,CONCORD REPATRIATION HOSPITAL,2139,Tuesday & Friday,$10,$100
Sydney Metro,HOMEBUSH,2140,Tuesday & Friday,$10,$100
Sydney Metro,HOMEBUSH SOUTH,2140,Tuesday & Friday,$10,$100
Sydney Metro,HOMEBUSH WEST,2140,Tuesday & Friday,$10,$100
Sydney Metro,BERALA,2141,Tuesday & Friday,$10,$100
Sydney Metro,LIDCOMBE,2141,Tuesday & Friday,$10,$100
Sydney Metro,LIDCOMBE NORTH,2141,Tuesday & Friday,$10,$100
Sydney Metro,ROOKWOOD,2141,Tuesday & Friday,$10,$100
Sydney Metro,BLAXCELL,2142,Tuesday & Friday,$10,$100
Sydney Metro,CAMELLIA,2142,Tuesday & Friday,$10,$100
Sydney Metro,CLYDE,2142,Tuesday & Friday,$10,$100
Sydney Metro,GRANVILLE,2142,Tuesday & Friday,$10,$100
Sydney Metro,HOLROYD,2142,Tuesday & Friday,$10,$100
Sydney Metro,ROSEHILL,2142,Tuesday & Friday,$10,$100
Sydney Metro,SOUTH GRANVILLE,2142,Tuesday & Friday,$10,$100
Sydney Metro,BIRRONG,2143,Tuesday & Friday,$10,$100
Sydney Metro,POTTS HILL,2143,Tuesday & Friday,$10,$100
Sydney Metro,REGENTS PARK,2143,Tuesday & Friday,$10,$100
Sydney Metro,AUBURN,2144,Tuesday & Friday,$10,$100
Sydney Metro,CONSTITUTION HILL,2145,Tuesday & Friday,$10,$100
Sydney Metro,GIRRAWEEN,2145,Tuesday & Friday,$10,$100
Sydney Metro,GREYSTANES,2145,Tuesday & Friday,$10,$100
Sydney Metro,MAYS HILL,2145,Tuesday & Friday,$10,$100
Sydney Metro,PEMULWUY,2145,Tuesday & Friday,$10,$100
Sydney Metro,PENDLE HILL,2145,Tuesday & Friday,$10,$100
Sydney Metro,SOUTH WENTWORTHVILLE,2145,Tuesday & Friday,$10,$100
Sydney Metro,WENTWORTHVILLE,2145,Tuesday & Friday,$10,$100
Sydney Metro,WESTMEAD,2145,Tuesday & Friday,$10,$100
Sydney Metro,OLD TOONGABBIE,2146,Tuesday & Friday,$10,$100
Sydney Metro,TOONGABBIE,2146,Tuesday & Friday,$10,$100
Sydney Metro,TOONGABBIE EAST,2146,Tuesday & Friday,$10,$100
Sydney Metro,KINGS LANGLEY,2147,Tuesday & Friday,$10,$100
Sydney Metro,LALOR PARK,2147,Tuesday & Friday,$10,$100
Sydney Metro,SEVEN HILLS,2147,Tuesday & Friday,$10,$100
Sydney Metro,SEVEN HILLS WEST,2147,Tuesday & Friday,$10,$100
Sydney Metro,ARNDELL PARK,2148,Tuesday & Friday,$10,$100
Sydney Metro,BLACKTOWN,2148,Tuesday & Friday,$10,$100
Sydney Metro,BLACKTOWN WESTPOINT,2148,Tuesday & Friday,$10,$100
Sydney Metro,HUNTINGWOOD,2148,Tuesday & Friday,$10,$100
Sydney Metro,KINGS PARK,2148,Tuesday & Friday,$10,$100
Sydney Metro,MARAYONG,2148,Tuesday & Friday,$10,$100
Sydney Metro,PROSPECT,2148,Tuesday & Friday,$10,$100
Sydney Metro,HARRIS PARK,2150,Tuesday & Friday,$10,$100
Sydney Metro,PARRAMATTA,2150,Tuesday & Friday,$10,$100
Sydney Metro,PARRAMATTA WESTFIELD,2150,Tuesday & Friday,$10,$100
Sydney Metro,NORTH PARRAMATTA,2151,Tuesday & Friday,$10,$100
Sydney Metro,NORTH ROCKS,2151,Tuesday & Friday,$10,$100
Sydney Metro,NORTHMEAD,2152,Tuesday & Friday,$10,$100
Sydney Metro,BAULKHAM HILLS,2153,Tuesday & Friday,$10,$100
Sydney Metro,BELLA VISTA,2153,Tuesday & Friday,$10,$100
Sydney Metro,NORWEST,2153,Tuesday & Friday,$10,$100
